iter	Passed	Remaining
974	33436	857
975	33481	823
976	33511	788
977	33544	754
978	33575	720
979	33612	685
980	33644	651
981	33672	617
982	33718	583
983	33742	548
984	33769	514
985	33809	480
986	33841	445
987	33869	411
988	33899	377
989	33925	342
990	33950	308
991	33974	273
992	33999	239
993	34024	205
994	34052	171
995	34081	136
996	34111	102
997	34138	68
998	34169	34
999	34197	0
